ebmcode;ebmlabel;price
21215;Grundpauschale für Fachärzte für Nervenheilkunde und Fachärzte für Neurologie und Psychiatrie;28,07
21216;Fremdanamnese und/oder Anleitung bzw. Betreuung von Bezugspersonen schwer psychisch erkrankter Patienten mit dadurch gestörter Kommunikationsfähigkeit,;15,65
21217;Supportive psychiatrische Behandlung eines affektiv, psychotisch, psychomotorisch und/oder hirnorganisch akut dekompensierten Patienten,;2,92
21218;Zuschlag für die psychiatrische Grundversorgung gemäß Allgemeiner Bestimmung 4.3.8 zu den Gebührenordnungspositionen 21210 bis 21212;4,59
21219;Zuschlag zu der Gebührenordnungsposition 21218;1,25
21220;Psychiatrisches Gespräch, Psychiatrische Behandlung, Beratung, Erörterung und/oder Abklärung,;14,19
21221;Psychiatrische Behandlung (Gruppenbehandlung);13,98
21225;Zuschlag für die nervenheilkundliche Grundversorgung gemäß Allgemeiner Bestimmung 4.3.8 zu den Gebührenordnungspositionen 21213 bis 21215;4,07
21226;Zuschlag zu der Gebührenordnungsposition 21225;1,04
21227;Zuschlag zu den Gebührenordnungspositionen 21210 bis 21212,;0,63
21228;Zuschlag zu den Gebührenordnungspositionen 21213 bis 21215,;0,63
21230;Zusatzpauschale Kontinuierliche Mitbetreuung eines Patienten mit einer psychiatrischen Erkrankung in der häuslichen und/oder familiären Umgebung;39,14
21231;Zusatzpauschale Kontinuierliche Mitbetreuung eines Patienten mit einer psychiatrischen Erkrankung in beschützenden Einrichtungen oder Pflege- und Altenheimen;21,81
21232;Zusatzpauschale Ärztliche Koordination psychiatrischer Betreuung;20,66
21233;Zusatzpauschale Mitbetreuung eines Patienten mit einer psychiatrischen Erkrankung in der häuslichen und/oder familiären Umgebung ;31,20
21310;Elektroenzephalographische Untersuchung ;26,19
21311;Langzeitelektroenzephalographische (Schlaf-)Untersuchung;57,19
21320;Elektronystagmo-/Okulographie, Blinkreflexprüfung;13,15
21321;Neurophysiologische Untersuchung (SEP, VEP, AEP, MEP);27,45
21330;Konvulsionsbehandlung unter Vollnarkose,;9,81
21340;Testverfahren bei Demenzverdacht ;1,98
22210;Grundpauschale ;NA
22212;Grundpauschale ;NA
22210;Grundpauschale ;14,40
22211;Grundpauschale ;18,68
22212;Grundpauschale ;16,28
22216;Zuschlag für die psychosomatisch und psychotherapeutisch-medizinische Grundversorgung gemäß Allgemeiner Bestimmung 4.3.8 zu den Gebührenordnungspositionen 22210 bis 22212,;17,12
22218;Zuschlag zu der Gebührenordnungsposition 22216,;4,59
22219;Zuschlag zu den Gebührenordnungspositionen 22210 bis 22212,;0,21
22220;Psychotherapeutisches Gespräch (Einzelbehandlung);11,27
22221;Psychosomatisches Gespräch, psychosomatisch-medizinische Behandlung, Beratung, Erörterung und/oder Abklärung (Einzelbehandlung);9,39
22222;Psychosomatisch-medizinische Behandlung (Gruppenbehandlung);7,72
22230;Klinisch-neurologische Basisdiagnostik ;6,78
23210;Grundpauschale für ärztliche und psychologische Psychotherapeuten;NA
23212;Grundpauschale für ärztliche und psychologische Psychotherapeuten;NA
23210;Grundpauschale für ärztliche und psychologische Psychotherapeuten;8,45
23211;Grundpauschale für ärztliche und psychologische Psychotherapeuten;12,52
23212;Grundpauschale für ärztliche und psychologische Psychotherapeuten;11,06
23214;Grundpauschale für Kinder- und Jugendlichenpsychotherapeuten ;29,85
23216;Zuschlag für die psychotherapeutische Grundversorgung gemäß Allgemeiner Bestimmung 4.3.8 zu den Gebührenordnungspositionen 23210 bis 23212 und 23214,;17,12
23218;Zuschlag zu der Gebührenordnungsposition 23216,;4,59
23220;Psychotherapeutisches Gespräch als Einzelbehandlung;11,27
24210;Konsiliarpauschale;NA
24212;Konsiliarpauschale;NA
24210;Konsiliarpauschale;5,53
24211;Konsiliarpauschale;4,59
24212;Konsiliarpauschale;5,53
25210;Konsiliarpauschale bei gutartiger Erkrankung;29,85
25211;Konsiliarpauschale bei bösartiger Erkrankung;65,12
25213;Zuschlag zu den Gebührenordnungspositionen 25210 oder 25211 bei Neugeborenen, Säuglingen, Kleinkindern und Kindern;9,39
25214;Konsiliarpauschale nach strahlentherapeutischer Behandlung gemäß Richtlinie nach der Verordnung über den Schutz vor Schäden durch ionisierende Strahlen (Strahlenschutzverordnung);9,39
25310;Weichstrahl- oder Orthovolttherapie;13,15
25320;Bestrahlung mit Telekobaltgerät bei gut- oder bösartigen Erkrankungen oder Bestrahlung mit dem Linearbeschleuniger bei gutartigen Erkrankungen;27,66
25321;Bestrahlung mit einem Linearbeschleuniger bei bösartigen Erkrankungen oder raumfordernden Prozessen des zentralen Nervensystems;37,05
25322;Zuschlag zu den Gebührenordnungspositionen 25320 oder 25321 bei Bestrahlung von mehr als 2 Bestrahlungsfeldern,;6,78
25323;Zuschlag zu der Gebührenordnungsposition 25321 bei Bestrahlung in 3-D-Technik (auch stereotaktische, fraktionierte Bestrahlung von Gehirnläsionen) und/oder Großfeld- und/oder Halbkörperbestrahlung,;9,91
25330;Moulagen- oder Flabtherapie;42,79
25331;Intrakavitäre/Intraluminale Brachytherapie ;122,21
25332;Intrakavitäre vaginale Brachytherapie;81,40
25333;Interstitielle Brachytherapie im Afterloading-Verfahren;122,21
25340;Bestrahlungsplanung für die perkutane Bestrahlung ohne Rechnerunterstützung und individuelle Dosisplanung;38,93
25341;Rechnerunterstützte Bestrahlungsplanung für die perkutane Bestrahlung mit individueller Dosisplanung;175,12
25342;Rechnerunterstützte Bestrahlungsplanung für die perkutane Bestrahlung mit individueller Dosisplanung für irreguläre Felder mit individuellen Blöcken, Viellamellenkollimator, nicht koplanaren Feldern und/oder 3-D-Planung;260,59
26210;Grundpauschale ;NA
26212;Grundpauschale ;NA
26210;Grundpauschale ;15,55
26211;Grundpauschale ;17,32
26212;Grundpauschale ;20,66
26220;Zuschlag für die urologische Grundversorgung gemäß Allgemeiner Bestimmung 4.3.8 zu den Gebührenordnungspositionen 26210 bis 26212,;3,65
26222;Zuschlag zu der Gebührenordnungsposition 26220,;0,94
26227;Zuschlag zu den Gebührenordnungspositionen 26210 bis 26212,;0,21
26310;Urethro(-zysto)skopie des Mannes oder bei Personen mit nicht festgelegter Geschlechtszuordnung gemäß Allgemeiner Bestimmung 4.2.1;46,34
26311;Urethro(-zysto)skopie der Frau oder bei Personen mit nicht festgelegter Geschlechtszuordnung gemäß Allgemeiner Bestimmung 4.2.1;28,39
26312;Urethradruckprofilmessung mit fortlaufender Registrierung;30,26
26313;Zusatzpauschale apparative Untersuchung bei Harninkontinenz oder neurogener Blasenentleerungsstörung;67,94
26315;Zusatzpauschale Behandlung und/oder Betreuung eines Patienten mit einer gesicherten onkologischen Erkrankung bei laufender onkologischer Therapie oder Betreuung im Rahmen der Nachsorge;19,93
26320;Ausräumung einer Bluttamponade der Harnblase im Zusammenhang mit der Erbringung der Leistungen nach den Gebührenordnungspositionen 26310 und 26311;15,65
26321;Zuschlag zu den Gebührenordnungspositionen 26310 und 26311 für die Durchführung von (einer) endoskopischen Harnleitersondierung(en);13,88
26322;Zuschlag zu den Gebührenordnungspositionen 26310 und 26311 für das Einlegen einer Ureterverweilschiene mittels Endoskopie;21,60
26323;Zuschlag zu den Gebührenordnungspositionen 26310 und 26311 für den Wechsel einer Ureterverweilschiene mittels Endoskopie;9,91
26324;Zuschlag zu den Gebührenordnungspositionen 26310 und 26311 für die endoskopische Entfernung einer Ureterverweilschiene;4,59
26325;Wechsel eines Nierenfistelkatheters;29,74
26330;Zusatzpauschale Extrakorporale Stoßwellenlithotripsie (ESWL);534,22
26340;Kalibrierung/Bougierung der Harnröhre ;8,45
26341;Prostatabiopsie ;19,52
26350;Kleinchirurgischer urologischer Eingriff I ;8,14
26351;Kleinchirurgischer urologischer Eingriff II;12,31
26352;Kleinchirurgischer urologischer Eingriff III und/oder primäre Wundversorgung bei Säuglingen, Kleinkindern und Kindern ;22,86
27210;Grundpauschale ;NA
27212;Grundpauschale ;NA
27210;Grundpauschale ;21,92
27211;Grundpauschale ;24,32
27212;Grundpauschale ;25,67
27220;Zuschlag für die physikalisch rehabilitative Grundversorgung gemäß Allgemeiner Bestimmung 4.3.8 zu den Gebührenordnungspositionen 27210 bis 27212,;6,78
27222;Zuschlag zu der Gebührenordnungsposition 27220,;1,77
27227;Zuschlag zu den Gebührenordnungspositionen 27210 bis 27212,;0,21
27310;Funktioneller Ganzkörperstatus;11,79
27311;Klinisch-neurologische Basisdiagnostik;6,78
27320;Elektrokardiographische Untersuchung;8,35
27321;Belastungs-Elektrokardiographie (Belastungs-EKG);20,87
27322;Aufzeichnung eines Langzeit-EKG von mindestens 18 Stunden Dauer;6,99
27323;Computergestützte Auswertung eines kontinuierlich aufgezeichneten Langzeit-EKG von mindestens 18 Stunden Dauer ;9,60
27324;Langzeit-Blutdruckmessung ;8,14
27330;Spirographische Untersuchung ;6,26
27331;Abklärung einer peripheren neuromuskulären Erkrankung;19,20
27332;Physikalisch-rehabilitative Diagnostik und Therapie bei Schädigungen der Strukturen und Funktionen des Bewegungssystems, des zentralen und peripheren Nervensystems und der inneren Organe sowie der hiermit zusammenhängenden Beeinträchtigungen von Aktivität und/oder Teilhabe ;44,46
27333;Zuschlag zu der Gebührenordnungsposition 27332 für jede weitere Untersuchung und Behandlung,;7,20
 ;Versichertenpauschale ;24,63
 ;Versichertenpauschale ;15,65
 ;Versichertenpauschale ;12,73
 ;Versichertenpauschale ;16,38
 ;Versichertenpauschale ;21,92
 ;Versichertenpauschale ;24,63
 ;Versichertenpauschale ;15,65
 ;Versichertenpauschale ;12,73
 ;Versichertenpauschale ;16,38
 ;Versichertenpauschale ;21,92
30110;Allergologisch-diagnostischer Komplex zur Diagnostik und/oder zum Ausschluss einer (Kontakt-)Allergie vom Spättyp (Typ IV), einschl. Kosten;66,06
30111;Allergologisch-diagnostischer Komplex zur Diagnostik und/oder zum Ausschluss einer Allergie vom Soforttyp (Typ I), einschl. Kosten;47,80
30120;Rhinomanometrischer Provokationstest ;6,78
30121;Subkutaner Provokationstest;17,12
30122;Bronchialer Provokationstest;68,98
30123;Oraler Provokationstest ;17,12
30130;Hyposensibilisierungsbehandlung;9,81
30131;Zuschlag zu der Gebührenordnungsposition 30130 für jede weitere Hyposensibilisierungsbehandlung durch Injektion(en) zu unterschiedlichen Zeiten am selben Behandlungstag (zum Beispiel bei Injektion verschiedener nicht mischbarer Allergene oder Cluster- oder Rush-Therapie);7,41
30200;Chirotherapeutischer Eingriff ;5,53
30201;Chirotherapeutischer Eingriff an der Wirbelsäule;7,41
30300;Sensomotorische Übungsbehandlung (Einzelbehandlung);9,08
30301;Sensomotorische Übungsbehandlung (Gruppenbehandlung);3,13
30400;Massagetherapie;7,72
30401;Intermittierende apparative Kompressionstherapie, ;3,55
30402;Unterwasserdruckstrahlmassage;10,12
30410;Atemgymnastik (Einzelbehandlung);7,72
30411;Atemgymnastik (Gruppenbehandlung);3,55
30420;Krankengymnastik (Einzelbehandlung);9,81
30421;Krankengymnastik (Gruppenbehandlung);5,01
30430;Selektive Phototherapie mittels indikationsbezogen optimierten UV-Spektrums,;5,74
30431;Zuschlag zu der Gebührenordnungsposition 30430 bei Durchführung der Phototherapie als Photochemotherapie (z. B. PUVA);3,65
30500;Phlebologischer Basiskomplex ;17,12
30501;Verödung von Varizen;9,81
30600;Zusatzpauschale Prokto-/Rektoskopie;8,87
30601;Zuschlag zu der Gebührenordnungsposition 30600 für die Polypentfernung(en);5,95
30610;Behandlung(en) von Hämorrhoiden im anorektalen Bereich durch Sklerosierung am anorektalen Übergang mittels Injektion,;9,91
30611;Entfernung von Hämorrhoiden am anorektalen Übergang und/oder eines inneren Schleimhautvorfalls mittels elastischer Ligatur nach Barron, ;19,41
30700;Grundpauschale für einen Patienten im Rahmen der Versorgung gemäß der Qualitätssicherungsvereinbarung zur schmerztherapeutischen Versorgung chronisch schmerzkranker Patienten nach § 135 Abs. 2 SGB V;33,40
30701;Zuschlag zu der Gebührenordnungsposition 30700,;0,94
30702;Zusatzpauschale für die schmerztherapeutische Versorgung gemäß der Qualitätssicherungsvereinbarung zur schmerztherapeutischen Versorgung chronisch schmerzkranker Patienten nach § 135 Abs. 2 SGB V ;51,87
30704;Zuschlag für die Erbringung der Zusatzpauschale 30702 in schmerztherapeutischen Einrichtungen gemäß Anlage I der Qualitätssicherungsvereinbarung Schmerztherapie und Erfüllung der Voraussetzungen gemäß Präambel Nr. 4 - 6;31,00
30706;Teilnahme an einer schmerztherapeutischen Fallkonferenz gemäß § 5 Abs. 3 der Qualitätssicherungsvereinbarung Schmerztherapie ;6,26
30708;Beratung und Erörterung und/oder Abklärung im Rahmen der Schmerztherapie, Dauer mindestens 10 Minuten, ;12,31
30710;Infusion von nach der Betäubungsmittelverschreibungsverordnung verschreibungspflichtigen Analgetika oder von Lokalanästhetika unter systemischer Anwendung in überwachungspflichtiger Konzentration;11,58
30712;Anleitung des Patienten zur Selbstanwendung der transkutanen elektrischen Nervenstimulation (TENS);6,99
30720;Analgesie eines Hirnnerven oder eines Hirnnervenganglions an der Schädelbasis;9,81
30721;Sympathikusblockade (Injektion) am zervikalen Grenzstrang;22,12
30722;Sympathikusblockade (Injektion) am thorakalen oder lumbalen Grenzstrang;19,41
30723;Ganglionäre Opioid-Applikation;9,81
30724;Analgesie eines oder mehrerer Spinalnerven und der Rami communicantes an den Foramina intervertebralia;19,41
30730;Intravenöse regionale Sympathikusblockade in Blutleere;66,27
30731;Plexusanalgesie (Plexus zervikalis, brachialis, axillaris, lumbalis, lumbosakralis), Spinal- oder Periduralanalgesie (auch kaudal), einzeitig oder mittels Katheter (auch als Voraussetzung zur Applikation zytostatischer, antiphlogistischer oder immunsuppressiver Substanzen);70,13
30740;Überprüfung (z. B. anatomische Lage, Wundverhältnisse) eines zur Langzeitanalgesie angelegten Plexus-, Peridural- oder Spinalkatheters und/oder eines programmierbaren Stimulationsgerätes im Rahmen der Langzeitanalgesie;11,58
30750;Erstprogrammierung einer externen Medikamentenpumpe zur Langzeitanalgesie;17,53
30751;Langzeitanalgospasmolyse mit Auffüllen einer implantierten Medikamentenpumpe zur intrathekalen Dauerapplikation von Baclofen über mindestens 8 Stunden;19,41
30760;Dokumentierte Überwachung im Anschluss an die Gebührenordnungsposition 30710 oder nach Eintritt des dokumentierten vegetativen, ggf. sensiblen Effektes im Anschluss an die Gebührenordnungspositionen 30721, 30722, 30724 und 30730;17,53
30790;Eingangsdiagnostik und Abschlussuntersuchung zur Behandlung mittels Körperakupunktur gemäß den Qualitätssicherungsvereinbarungen nach § 135 Abs. 2 SGB V bei folgenden Indikationen:;49,05
30791;Durchführung einer Körperakupunktur und ggfs. Revision des Therapieplans gemäß den Qualitätssicherungsvereinbarungen nach § 135 Abs. 2 SGB V zur Behandlung bei folgenden Indikationen:;22,12
30800;Hinzuziehung eines soziotherapeutischen Leistungserbringers ;6,99
30810;Erstverordnung Soziotherapie ;17,53
30811;Überprüfung der Indikation zur Folgeverordnung Soziotherapie;17,53
30900;Kardiorespiratorische Polygraphie gemäß Stufe 3 der Richtlinien des Gemeinsamen Bundesausschusses;61,47
30901;Kardiorespiratorische Polysomnographie gemäß Stufe 4 der Richtlinien des Gemeinsamen Bundesausschusses;330,30
30920;Zusatzpauschale für die Behandlung eines Patienten im Rahmen der qualitätsgesicherten Versorgung von HIV-Infizierten entsprechend der Qualitätssicherungsvereinbarung gemäß § 135 Abs. 2 SGB V ;48,01
30922;Zuschlag zur Gebührenordnungsposition 30920 zur Behandlung eines Patienten im Rahmen der qualitätsgesicherten Versorgung von HIV-Infizierten entsprechend der Qualitätssicherungsvereinbarung gemäß § 135 Abs. 2 SGB V bei Behandlung mit antiretroviralen Medikamenten ;32,25
30924;Zuschlag zur Gebührenordnungsposition 30920 zur Behandlung eines Patienten im Rahmen der qualitätsgesicherten Versorgung von HIV-Infizierten entsprechend der Qualitätssicherungsvereinbarung gemäß § 135 Abs. 2 SGB V bei Vorliegen HIV-assoziierter Erkrankungen und/oder AIDS-definierter Erkrankungen und/oder bei Vorliegen von behandlungsbedürftigen Koinfektionen (z. B. Hepatitis B/C, Tuberkulose), ggf. bei Behandlung mit antiretroviralen Medikamenten ;64,60
30930;Krankheitspezifische neuropsychologische Diagnostik mittels Testverfahren ;2,92
30931;Probatorische Sitzung ;64,81
30932;Neuropsychologische Therapie (Einzelbehandlung) ;85,47
30933;Neuropsychologische Therapie (Gruppenbehandlung) ;61,68
30934;Erstellung eines Therapieplans ;18,78
30935;Bericht bei Therapieverlängerung im Einzelfall ;7,72
30940;Erhebung des MRSA-Status eines Risikopatienten gemäß Nr. 3 der Präambel des Abschnitts 30.12 bis sechs Monate nach Entlassung aus einer stationären Behandlung;3,65
30942;Behandlung und Betreuung eines Risikopatienten gemäß Nr. 3 der Präambel des Abschnitts 30.12, der Träger von MRSA ist, oder einer positiv nachgewiesenen MRSA-Kontaktperson gemäß der Gebührenordnungsposition 30946;13,88
30944;Aufklärung und Beratung eines Risikopatienten gemäß Nr. 3 der Präambel des Abschnitts 30.12, der Träger von MRSA ist, oder einer positiv nachgewiesenen MRSA-Kontaktperson gemäß der Gebührenordnungsposition 30946 im Zusammenhang mit der Durchführung der Leistung der Gebührenordnungsposition 30942;9,39
30946;Abklärungs-Diagnostik einer Kontaktperson nach erfolgloser Sanierung eines MRSA-Trägers;3,34
30948;Teilnahme an einer MRSA-Fall- und/oder regionalen Netzwerkkonferenz gemäß der Qualitätssicherungsvereinbarung MRSA nach § 135 Abs. 2 SGB V,;4,80
30950;Bestätigung einer MRSA-Besiedelung durch Abstrich(e);1,98
30952;Ausschluss einer MRSA-Besiedelung durch Abstrich(e);1,98
30954;Gezielter MRSA-Nachweis auf chromogenem Selektivnährboden;5,32
30956;Nachweis der Koagulase und/oder des Clumpingfaktors zur Erregeridentifikation nur bei positivem Nachweis gemäß Gebührenordnungsposition 30954;2,61
30980;Abklärung vor der Durchführung eines weiterführenden geriatrischen Assessments nach der Gebührenordnungsposition 30984 durch einen Arzt gemäß Nr. 1 der Präambel des Abschnitts 30.13;20,25
30981;Abklärung vor der Durchführung eines weiterführenden geriatrischen Assessments nach der Gebührenordnungsposition 30984 durch einen Arzt gemäß Nr. 2 der Präambel des Abschnitts 30.13;13,67
30984;Weiterführendes geriatrisches Assessment gemäß der Qualitätssicherungsvereinbarung zur spezialisierten geriatrischen Diagnostik nach § 135 Abs. 2 SGB V;92,05
30985;Zuschlag zur Gebührenordnungsposition 30984 für die Fortsetzung des weiterführenden geriatrischen Assessments;33,92
30986;Zuschlag zur Gebührenordnungsposition 30985 für die Fortsetzung des weiterführenden geriatrischen Assessments;24,42
30988;Zuschlag zu den Gebührenordnungspositionen 03362, 16230, 16231, 21230 und 21231 für die Einleitung und Koordination der Therapiemaßnahmen nach multiprofessioneller geriatrischer Diagnostik;6,78
31010;Operationsvorbereitung für ambulante und belegärztliche Eingriffe bei Neugeborenen, Säuglingen, Kleinkindern und Kindern;31,00
31011;Operationsvorbereitung für ambulante und belegärztliche Eingriffe bei Jugendlichen und Erwachsenen bis zum vollendeten 40. Lebensjahr;31,00
31012;Operationsvorbereitung bei ambulanten und belegärztlichen Eingriffen bei Patienten nach Vollendung des 40. Lebensjahres bis zur Vollendung des 60. Lebensjahres;39,14
31013;Operationsvorbereitung bei ambulanten und belegärztlichen Eingriffen bei Patienten nach Vollendung des 60. Lebensjahres ;43,00
31101;Dermatochirurgischer Eingriff der Kategorie A1;91,94
31102;Dermatochirurgischer Eingriff der Kategorie A2;150,07
31103;Dermatochirurgischer Eingriff der Kategorie A3;214,25
31104;Dermatochirurgischer Eingriff der Kategorie A4;288,77
31105;Dermatochirurgischer Eingriff der Kategorie A5;380,81
31106;Dermatochirurgischer Eingriff der Kategorie A6;482,36
31107;Dermatochirurgischer Eingriff der Kategorie A7;530,36
31108;Zuschlag zu den Gebührenordnungspositionen 31101 bis 31106 bei Simultaneingriffen sowie zu der Gebührenordnungsposition 31107;48,32
31111;Eingriff an der Brustdrüse der Kategorie B1;103,53
31112;Eingriff an der Brustdrüse der Kategorie B2;167,19
31113;Eingriff an der Brustdrüse der Kategorie B3;244,52
31114;Eingriff an der Brustdrüse der Kategorie B4;325,29
31115;Eingriff an der Brustdrüse der Kategorie B5;442,07
31116;Eingriff an der Brustdrüse der Kategorie B6 ;555,62
31117;Eingriff an der Brustdrüse der Kategorie B7 ;594,34
31118;Zuschlag zu den Gebührenordnungspositionen 31111 bis 31116 bei Simultaneingriffen sowie zur Gebührenordnungsposition 31117;55,52
31121;Eingriff der Kategorie C1 ;99,46
31122;Eingriff der Kategorie C2 ;160,92
31123;Eingriff der Kategorie C3;231,37
31124;Eingriff der Kategorie C4;305,36
31125;Eingriff der Kategorie C5;410,56
31126;Eingriff der Kategorie C6;524,41
31127;Eingriff der Kategorie C7;573,15
31128;Zuschlag zu den Gebührenordnungspositionen 31121 bis 31126 bei Simultaneingriffen sowie zu der Gebührenordnungsposition 31127;52,91
31131;Eingriff an Knochen und Gelenken der Kategorie D1;125,44
31132;Eingriff an Knochen und Gelenken der Kategorie D2;203,19
31133;Eingriff an Knochen und Gelenken der Kategorie D3;286,37
31134;Eingriff an Knochen und Gelenken der Kategorie D4;371,63
31135;Eingriff an Knochen und Gelenken der Kategorie D5;548,42
31136;Eingriff an Knochen und Gelenken der Kategorie D6;670,00
31137;Eingriff an Knochen und Gelenken der Kategorie D7;737,21
31138;Zuschlag zu den Gebührenordnungspositionen 31131 bis 31136 bei Simultaneingriffen sowie zu der Gebührenordnungsposition 31137;59,07
31141;Endoskopischer Gelenkeingriff (Arthroskopie) der Kategorie E1;162,39
31142;Endoskopischer Gelenkeingriff (Arthroskopie) der Kategorie E2;233,56
31143;Endoskopischer Gelenkeingriff (Arthroskopie) der Kategorie E3;329,36
31144;Endoskopischer Gelenkeingriff (Arthroskopie) der Kategorie E4 ;433,41
31145;Endoskopischer Gelenkeingriff (Arthroskopie) der Kategorie E5;564,28
31146;Endoskopischer Gelenkeingriff (Arthroskopie) der Kategorie E6 ;706,00
31147;Endoskopischer Gelenkeingriff (Arthroskopie) der Kategorie E7 ;775,92
31148;Zuschlag zu den Gebührenordnungspositionen 31141 bis 31146 bei Simultaneingriffen sowie zu der Gebührenordnungsposition 31147;67,73
31151;Visceralchirurgischer Eingriff der Kategorie F1;96,85
31152;Visceralchirurgischer Eingriff der Kategorie F2;161,24
31153;Visceralchirurgischer Eingriff der Kategorie F3;231,99
31154;Visceralchirurgischer Eingriff der Kategorie F4;302,23
31155;Visceralchirurgischer Eingriff der Kategorie F5;405,55
31156;Visceralchirurgischer Eingriff der Kategorie F6;516,69
31157;Visceralchirurgischer Eingriff der Kategorie F7;556,77
31158;Zuschlag zu den Gebührenordnungspositionen 31151 bis 31156 bei Simultaneingriffen sowie zu der Gebührenordnungsposition 31157;52,91
31161;Endoskopischer Visceralchirurgischer Eingriff der Kategorie G1;126,90
31162;Endoskopischer Visceralchirurgischer Eingriff der Kategorie G2;186,91
31163;Endoskopischer Visceralchirurgischer Eingriff der Kategorie G3;255,37
31164;Endoskopischer Visceralchirurgischer Eingriff der Kategorie G4;337,09
31165;Endoskopischer Visceralchirurgischer Eingriff der Kategorie G5;435,71
31166;Endoskopischer Visceralchirurgischer Eingriff der Kategorie G6;544,14
31167;Endoskopischer Visceralchirurgischer Eingriff der Kategorie G7;577,95
31168;Zuschlag zu den Gebührenordnungspositionen 31161 bis 31166 bei Simultaneingriffen und zu der Gebührenordnungsposition 31167;50,41
31171;Proktologischer Eingriff der Kategorie H1;128,26
31172;Proktologischer Eingriff der Kategorie H2;182,32
31173;Proktologischer Eingriff der Kategorie H3;229,18
31174;Proktologischer Eingriff der Kategorie H4;294,09
31175;Proktologischer Eingriff der Kategorie H5;402,42
31176;Proktologischer Eingriff der Kategorie H6;518,36
31177;Proktologischer Eingriff der Kategorie H7;551,97
31178;Zuschlag zu den Gebührenordnungspositionen 31171 bis 31176 bei Simultaneingriffen sowie zu der Gebührenordnungsposition 31177;49,78
31181;Kardiochirurgischer Eingriff der Kategorie I1;227,19
31182;Kardiochirurgischer Eingriff der Kategorie I2;278,64
31183;Kardiochirurgischer Eingriff der Kategorie I3;328,11
31184;Kardiochirurgischer Eingriff der Kategorie I4;402,10
31185;Kardiochirurgischer Eingriff der Kategorie I5;573,36
31186;Kardiochirurgischer Eingriff der Kategorie I6;688,26
31187;Kardiochirurgischer Eingriff der Kategorie I7;727,92
31188;Zuschlag zu den Gebührenordnungspositionen 31181 bis 31186 bei Simultaneingriffen sowie zu der Gebührenordnungsposition 31187;59,59
31191;Thoraxchirurgischer Eingriff der Kategorie J1;211,85
31192;Thoraxchirurgischer Eingriff der Kategorie J2;267,58
31193;Thoraxchirurgischer Eingriff der Kategorie J3;323,10
31194;Thoraxchirurgischer Eingriff der Kategorie J4;405,44
31195;Thoraxchirurgischer Eingriff der Kategorie J5;521,28
31196;Thoraxchirurgischer Eingriff der Kategorie J6;636,29
31197;Thoraxchirurgischer Eingriff der Kategorie J7;675,95
31198;Zuschlag zu den Gebührenordnungspositionen 31191 bis 31196 bei Simultaneingriffen sowie zu der Gebührenordnungsposition 31197;59,59
31201;Eingriff am Gefäßsystem der Kategorie K1;129,72
31202;Eingriff am Gefäßsystem der Kategorie K2;186,60
31203;Eingriff am Gefäßsystem der Kategorie K3;233,04
31204;Eingriff am Gefäßsystem der Kategorie K4;313,19
31205;Eingriff am Gefäßsystem der Kategorie K5;427,15
31206;Eingriff am Gefäßsystem der Kategorie K6;533,28
31207;Eingriff am Gefäßsystem der Kategorie K7;577,95
31208;Zuschlag zu den Gebührenordnungspositionen 31201 bis 31206 bei Simultaneingriffen und zu der Gebührenordnungsposition 31207;50,93
31211;Eingriff der Kategorie L1;162,39
31212;Eingriff der Kategorie L2;211,64
31213;Eingriff der Kategorie L3;277,50
31214;Eingriff der Kategorie L4;352,64
31215;Eingriff der Kategorie L5;476,09
31216;Eingriff der Kategorie L6;585,67
31217;Eingriff der Kategorie L7;623,56
31218;Zuschlag zu den Gebührenordnungspositionen 31211 bis 31216 bei Simultaneingriffen und zu der Gebührenordnungsposition 31217;56,67
31221;Eingriff der MKG-Chirurgie der Kategorie M1;92,26
31222;Eingriff der MKG-Chirurgie der Kategorie M2;150,18
31223;Eingriff der MKG-Chirurgie der Kategorie M3;219,05
31224;Eingriff der MKG-Chirurgie der Kategorie M4;299,31
31225;Eingriff der MKG-Chirurgie der Kategorie M5;398,55
31226;Eingriff der MKG-Chirurgie der Kategorie M6;527,34
31227;Eingriff der MKG-Chirurgie der Kategorie M7;561,46
31228;Zuschlag zu den Gebührenordnungspositionen 31221 bis 31226 bei Simultaneingriffen und zu der Gebührenordnungsposition 31227;46,86
31231;Eingriffe der HNO-Chirurgie der Kategorie N1;103,00
31232;Eingriffe der HNO-Chirurgie der Kategorie N2 ;166,25
31233;Eingriffe der HNO-Chirurgie der Kategorie N3;241,91
31234;Eingriffe der HNO-Chirurgie der Kategorie N4;331,76
31235;Eingriffe der HNO-Chirurgie der Kategorie N5;445,41
31236;Eingriffe der HNO-Chirurgie der Kategorie N6;572,63
31237;Eingriffe der HNO-Chirurgie der Kategorie N7;609,68
31238;Zuschlag zu den Gebührenordnungspositionen nach den Nrn. 31231 bis 31236 bei Simultaneingriffen und zu der Gebührenordnungsposition 31237;52,39
31241;Peripherer neurochirurgischer Eingriff der Kategorie O1;95,18
31242;Peripherer neurochirurgischer Eingriff der Kategorie O2;154,25
31243;Peripherer neurochirurgischer Eingriff der Kategorie O3;220,31
31244;Peripherer neurochirurgischer Eingriff der Kategorie O4;302,02
31245;Peripherer neurochirurgischer Eingriff der Kategorie O5;410,76
31246;Peripherer neurochirurgischer Eingriff der Kategorie O6;518,36
31247;Peripherer neurochirurgischer Eingriff der Kategorie O7;565,01
